0	1	mikroCPIC1618.exe -MSF -DBG -pP18F25K22 -RA -LHF -GC -DL -O11111114 -fo64 -EH"C:\Users\GIT\ReflowOvenControl\ReflowOven.ihex" -N"C:\Users\GIT\ReflowOvenControl\ReflowOven.mcppi" -SP"C:\Users\Public\Documents\Mikroelektronika\mikroC PRO for PIC\Defs\" -SP"C:\Users\Public\Documents\Mikroelektronika\mikroC PRO for PIC\uses\P18\" -SP"C:\Users\GIT\ReflowOvenControl\" -SP"C:\Users\Public\Documents\Mikroelektronika\mikroC PRO for PIC\Packages\PID\Uses\" -SP"C:\Users\Public\Documents\Mikroelektronika\mikroC PRO for PIC\Packages\I2C_LcdRm\Uses\" -IP"C:\Users\Public\Documents\Mikroelektronika\mikroC PRO for PIC\uses\P18\" -IP"C:\Users\Public\Documents\Mikroelektronika\mikroC PRO for PIC\Packages\PID\Uses\" -IP"C:\Users\Public\Documents\Mikroelektronika\mikroC PRO for PIC\Packages\I2C_LcdRm\Uses\" "ReflowOven.c" "Config.c" "Max31855J.c" "PID.c" "Calcs.c" "ADC_Buttons.c" "IRQs.c" "__Lib_Math.mcl" "__Lib_MathDouble.mcl" "__Lib_System.mcl" "__Lib_Delays.mcl" "__Lib_CType.mcl" "__Lib_CString.mcl" "__Lib_CStdlib.mcl" "__Lib_Conversions.mcl" "__Lib_Sprintf.mcl" "__Lib_ADC_K22_B.mcl" "__Lib_EEPROM_256.mcl" "__Lib_I2C_c34b12.mcl" "__Lib_SPI_c345b123.mcl" "__Lib_UART_c67b67.mcl" "PID_Lib.mcl" "I2C_Lcd.mcl"	 
hint: 0	1139	Available RAM: 1515 [bytes], Available ROM: 32768 [bytes]	 
diagnostics: 0	122	Compilation Started	P18F25K22.c
diagnostics: 2616	123	Compiled Successfully	P18F25K22.c
diagnostics: 0	122	Compilation Started	__Lib_Delays.c
diagnostics: 172	123	Compiled Successfully	__Lib_Delays.c
diagnostics: 0	122	Compilation Started	pid_lib.h
diagnostics: 78	123	Compiled Successfully	PID_Lib.c
diagnostics: 0	122	Compilation Started	i2c_lcd.h
hint: 14	1163	Variable 'dummy' has been declared, but not used	I2C_Lcd.c
diagnostics: 174	123	Compiled Successfully	I2C_Lcd.c
hint: 14	1164	Variable 'S' has been eliminated by optimizer	I2C_Lcd.c
diagnostics: 0	122	Compilation Started	stdint.h
warning: 35	1504	Initialization of extern object 'mulFact'	config.h
hint: 84	1163	Variable 'Test' has been declared, but not used	ReflowOven.c
hint: 43	1163	Variable 'a' has been declared, but not used	ReflowOven.c
hint: 0	1004	interrupt handler (HighPrioity at 0x0008)	ReflowOven.c
hint: 0	1004	interrupt handler (Tmr1_Int at 0x0018)	ReflowOven.c
diagnostics: 292	123	Compiled Successfully	ReflowOven.c
diagnostics: 0	122	Compilation Started	stdint.h
warning: 35	1504	Initialization of extern object 'mulFact'	config.h
diagnostics: 145	123	Compiled Successfully	Config.c
diagnostics: 0	122	Compilation Started	stdint.h
warning: 35	1504	Initialization of extern object 'mulFact'	config.h
hint: 48	1163	Variable 'sign' has been declared, but not used	Max31855J.c
diagnostics: 65	123	Compiled Successfully	Max31855J.c
hint: 45	1164	Variable 'ftemp' has been eliminated by optimizer	Max31855J.c
hint: 46	1164	Variable 'fdec' has been eliminated by optimizer	Max31855J.c
diagnostics: 0	122	Compilation Started	stdint.h
warning: 35	1504	Initialization of extern object 'mulFact'	config.h
diagnostics: 108	123	Compiled Successfully	PID.c
diagnostics: 0	122	Compilation Started	stdint.h
warning: 35	1504	Initialization of extern object 'mulFact'	config.h
diagnostics: 30	123	Compiled Successfully	Calcs.c
diagnostics: 0	122	Compilation Started	stdint.h
warning: 35	1504	Initialization of extern object 'mulFact'	config.h
diagnostics: 348	123	Compiled Successfully	ADC_Buttons.c
diagnostics: 0	122	Compilation Started	stdint.h
warning: 35	1504	Initialization of extern object 'mulFact'	config.h
diagnostics: 122	123	Compiled Successfully	IRQs.c
diagnostics: 0	127	All files Compiled in 359 ms	 
hint: 0	1144	Used RAM (bytes): 433 (29%)  Free RAM (bytes): 1082 (71%)	Used RAM (bytes): 433 (29%)  Free RAM (bytes): 1082 (71%)
hint: 0	1144	Used ROM (bytes): 23808 (73%)  Free ROM (bytes): 8960 (27%)	Used ROM (bytes): 23808 (73%)  Free ROM (bytes): 8960 (27%)
diagnostics: 0	125	Project Linked Successfully	ReflowOven.mcppi
hint: 0	1004	COFF file successfully generated	COFF file successfully generated
diagnostics: 0	128	Linked in 1187 ms	 
diagnostics: 0	129	Project 'ReflowOven.mcppi' completed: 1765 ms	 
diagnostics: 0	103	Finished successfully: 09 Mar 2021, 10:35:21	ReflowOven.mcppi
